SampleID,sample_type,type,time
PNC,Unlabeled,litter,T0
PNE,Labeled,litter,T0
I_Palsa_C1,Unlabeled,peat,T1
I_Palsa_C2,Unlabeled,peat,T1
I_Palsa_N1,Unlabeled,peat_and_litter,T1
I_Palsa_N2,Unlabeled,peat_and_litter,T1
I_Palsa_E1,Labeled,peat_and_litter,T1
I_Palsa_E2,Labeled,peat_and_litter,T1
II_Palsa_C1,Unlabeled,peat,T2
II_Palsa_C2,Unlabeled,peat,T2
II_Palsa_N1,Unlabeled,peat_and_litter,T2
II_Palsa_N2,Unlabeled,peat_and_litter,T2
II_Palsa_E1,Labeled,peat_and_litter,T2
II_Palsa_E2,Labeled,peat_and_litter,T2
III_Palsa_C1,Unlabeled,peat,T3
III_Palsa_C2,Unlabeled,peat,T3
III_Palsa_N1,Unlabeled,peat_and_litter,T3
III_Palsa_N2,Unlabeled,peat_and_litter,T3
III_Palsa_E1,Labeled,peat_and_litter,T3
III_Palsa_E2,Labeled,peat_and_litter,T3
