FeatureID,PNC,PNE,I_Palsa_C1,I_Palsa_C2,I_Palsa_N1,I_Palsa_N2,I_Palsa_E1,I_Palsa_E2,II_Palsa_C1,II_Palsa_C2,II_Palsa_N1,II_Palsa_N2,II_Palsa_E1,II_Palsa_E2,III_Palsa_C1,III_Palsa_C2,III_Palsa_N1,III_Palsa_N2,III_Palsa_E1,III_Palsa_E2,Palsa_T0
4-Aminobutyrate,170.607,0,6.771,6.549,9.99,12.987,0,7.437,0,0,6.993,9.657,0,3.996,7.992,14.874,8.325,11.544,7.548,3.33,5.328
4-Hydroxybenzoate,9.879,9.99,6.327,5.772,12.876,5.217,3.996,8.769,13.431,4.329,11.877,12.987,10.545,7.77,6.438,6.105,10.878,8.88,8.88,9.102,5.328
Acetate,157.731,62.382,35.52,8.769,40.293,42.624,8.991,54.612,58.608,11.544,33.522,71.595,38.628,46.731,31.857,97.902,41.625,66.933,37.185,56.61,23.199
Acetone,0,0,1.332,0.999,2.442,0,1.11,0,1.776,0.999,1.887,1.665,1.221,1.11,1.554,1.998,1.11,1.887,0.777,1.221,1.332
Adenosine,17.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alanine,933.288,125.874,7.437,8.325,15.762,15.762,8.769,12.099,11.1,12.654,18.981,16.095,8.325,9.102,12.654,17.649,17.538,20.424,13.653,10.434,15.984
Asparagine,253.413,77.034,0,12.432,0,0,0,53.724,10.878,18.315,24.642,16.983,7.77,7.881,19.092,21.09,28.416,46.176,35.298,15.984,0
Aspartate,29.304,0,0,0,0,0,0,0,0,0,7.215,0,0,0,0,0,0,8.769,0,0,0
Betaine,25.086,24.198,4.329,4.329,26.418,22.644,19.758,19.425,3.33,4.44,13.764,13.764,8.769,8.991,4.329,4.995,10.101,17.427,8.658,8.547,3.996
Chlorogenate,53.169,0,0,0,0,0,0,11.544,0,0,0,0,0,0,0,0,0,0,0,0,0
Choline,190.476,111.333,5.994,7.881,8.436,6.771,6.327,10.878,3.663,2.997,4.773,6.327,3.108,3.108,3.33,3.774,3.996,8.991,3.663,3.108,4.551
Cinnamate,38.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D-Glucurono-6,3-lactone",0,0,272.283,239.205,137.085,124.653,181.263,143.079,384.726,370.296,206.793,189.921,227.106,133.533,182.595,159.618,36.075,71.262,67.821,98.457,202.575
Dimethyl sulfone,0,0,7.77,13.875,16.761,9.546,8.436,17.649,2.109,11.1,2.997,5.661,0.888,0.999,3.774,7.437,2.109,4.884,0.999,2.109,0
Dimethylamine,5.439,0,37.629,190.809,357.864,69.597,80.142,593.184,4.662,59.052,5.217,17.427,0.777,1.11,10.989,90.909,4.44,17.982,1.221,4.44,0
Formate,51.726,33.3,16.983,30.303,49.617,98.679,56.61,82.251,36.63,34.188,179.376,97.014,56.166,59.496,61.827,77.589,65.823,70.485,116.55,90.798,106.116
Fructose,2080.695,1122.099,408.036,424.02,199.356,44.178,59.496,387.279,163.281,106.338,210.678,344.766,118.881,128.316,131.202,276.39,368.742,445.554,213.231,121.989,250.749
Fumarate,102.786,9.546,0,0,1.776,0,0,2.109,1.554,0,0,0,0,0,0,0,2.109,3.108,0,2.331,0
Galactose,67.377,33.855,58.941,59.052,23.976,29.526,42.291,48.507,97.014,82.14,53.391,50.394,46.176,33.966,85.692,42.069,29.304,36.963,32.523,34.743,107.115
Gallate,0,0,5.55,4.884,8.769,7.437,4.107,6.438,9.102,3.108,9.435,18.426,8.769,9.657,6.216,7.437,7.77,14.874,5.328,6.327,5.994
Glucose,2220.444,518.259,367.854,570.651,196.692,143.634,102.786,466.089,192.474,158.397,363.192,406.593,118.548,101.232,156.843,437.673,497.391,750.693,427.017,220.335,593.628
Glutamine,67.266,0,0,0,12.765,0,0,0,16.539,18.093,21.645,22.089,0,0,12.654,19.647,31.413,46.287,31.635,24.309,13.098
Glycerol,341.436,94.239,94.017,195.582,337.44,143.301,66.6,502.053,62.16,88.245,104.562,124.764,73.482,50.727,87.579,170.274,104.451,146.187,90.465,83.028,87.024
Isoleucine,127.428,37.518,0,0,2.664,2.664,0,3.108,2.331,2.775,4.773,3.219,2.664,1.665,1.776,2.22,3.885,6.105,2.664,1.665,2.886
Lactate,0,0,0,2.886,4.44,6.66,3.33,5.439,2.997,4.773,8.769,7.326,5.772,2.886,6.105,2.997,4.107,3.552,6.105,5.439,4.551
Leucine,172.605,52.836,0,0,4.995,7.548,0,4.44,0,2.886,4.662,4.44,0,0,3.108,2.442,4.218,4.329,2.442,0,3.663
Mannitol,0,0,108.003,136.641,147.408,112.665,85.359,66.378,98.013,141.747,109.335,91.686,11.988,44.622,96.126,142.524,41.403,117.549,71.262,52.503,177.822
Methanol,61.272,40.959,10.323,10.323,14.652,15.984,9.213,9.546,17.76,10.101,24.309,22.755,11.433,6.438,9.879,13.986,10.212,55.833,15.762,15.096,9.879
O-Acetylcholine,5.55,4.884,2.553,1.11,1.665,1.332,2.109,2.553,3.441,2.664,2.997,4.995,2.331,1.332,2.664,1.443,2.997,1.998,1.665,0.999,1.665
O-Phosphocholine,6.327,5.106,4.107,7.77,18.315,15.54,15.318,14.874,9.435,6.771,19.98,9.324,16.095,10.545,5.772,5.217,7.326,8.103,7.881,8.214,6.438
Phenylalanine,128.871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proline,196.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionate,12.543,0,4.995,2.22,4.551,2.442,1.887,4.773,10.212,3.108,3.885,8.991,4.662,5.217,3.996,3.774,3.885,5.772,2.664,3.108,2.886
Protocatechuate,0,0,16.65,11.211,20.202,11.655,10.545,17.427,19.869,10.656,19.536,22.755,18.426,18.537,8.658,12.543,11.988,19.98,12.321,20.535,10.656
Pyroglutamate,64.38,0,0,0,0,0,0,0,14.541,10.767,14.208,12.987,0,0,0,0,9.102,15.54,13.209,0,11.655
Pyruvate,0,0,5.883,4.551,5.439,2.997,6.216,5.439,7.548,8.769,6.327,4.218,6.327,4.44,5.439,4.884,3.996,2.553,1.998,2.553,4.995
Quinone,7.659,0,13.875,15.762,7.881,4.44,15.762,0,0,0,7.215,6.993,9.324,14.874,13.209,0,0,18.426,8.103,0,10.212
Sucrose,698.523,180.486,208.68,68.598,54.39,16.65,29.637,100.344,209.235,84.693,28.083,114.885,49.173,75.147,49.173,52.503,65.157,13.875,13.764,0,115.995
Threonine,108.003,21.312,0,2.109,3.774,3.219,0,5.328,4.551,3.774,4.662,10.545,2.553,2.22,4.773,2.886,4.773,5.883,4.218,3.33,3.774
Trehalose,0.111,0,50.838,76.368,64.713,48.063,58.053,45.732,69.708,125.541,30.858,40.626,20.313,31.302,86.469,18.093,49.395,24.642,25.752,7.326,36.963
Trigonelline,47.73,23.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tryptophan,61.716,20.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrosine,74.592,0,1.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uridine,145.41,24.42,0,0,1.887,3.885,0,4.884,0,0,0,0,0,0,0,2.442,0,2.331,0,0,2.997
Valine,142.968,36.852,1.887,2.553,3.774,4.107,0,3.885,3.996,3.885,6.216,4.329,3.108,2.109,2.775,3.33,5.772,7.437,4.107,3.885,4.884
